,SpringFR,SpringFL,SpringRR,SpringRL,WishboneTargetFR,WishboneTargetFL,WishboneRRTarget,WishboneRLTarget,turn_right,turn_left,state
5788,0.9581685,1.13173127,1.3,0.85055083,-0.00560975075,-0.010874778,-0.16625765,0.0315526724,False,True,abnormal
5789,0.9781685,1.11793923,1.3,0.85700506,-0.0111480653,-0.00772303343,-0.166258052,0.0299049318,False,False,abnormal
5791,0.9781685,1.11793923,1.3,0.85700506,-0.0111480653,-0.00772303343,-0.166258052,0.0299049318,False,False,abnormal
5792,0.9781685,1.11793923,1.3,0.85700506,-0.0111480653,-0.00772303343,-0.166258052,0.0299049318,False,False,abnormal
5790,0.9781685,1.11793923,1.3,0.85700506,-0.0111480653,-0.00772303343,-0.166258052,0.0299049318,False,False,abnormal
5794,0.998168468,1.10795021,1.3,0.861555636,-0.0149552822,-0.00541594625,-0.166257367,0.0286069512,False,False,abnormal
5793,0.9781685,1.11793923,1.3,0.85700506,-0.0111480653,-0.00772303343,-0.166258052,0.0299049318,False,False,abnormal
5795,0.998168468,1.10795021,1.3,0.861555636,-0.0149552822,-0.00541594625,-0.166257367,0.0286069512,False,False,abnormal
5799,1.01816845,1.10165071,1.3,0.864237,-0.0166837275,-0.00447767973,-0.166257083,0.0276942253,False,False,abnormal
5798,0.998168468,1.10795021,1.3,0.861555636,-0.0149552822,-0.00541594625,-0.166257367,0.0286069512,False,False,abnormal
5797,0.998168468,1.10795021,1.3,0.861555636,-0.0149552822,-0.00541594625,-0.166257367,0.0286069512,False,False,abnormal
5796,0.998168468,1.10795021,1.3,0.861555636,-0.0149552822,-0.00541594625,-0.166257367,0.0286069512,False,False,abnormal
5800,1.01816845,1.10165071,1.3,0.864237,-0.0166837275,-0.00447767973,-0.166257083,0.0276942253,False,False,abnormal
5801,1.01816845,1.10165071,1.3,0.864237,-0.0166837275,-0.00447767973,-0.166257083,0.0276942253,False,False,abnormal
5802,1.01816845,1.10165071,1.3,0.864237,-0.0166837275,-0.00447767973,-0.166257083,0.0276942253,False,False,abnormal
5803,1.01816845,1.10165071,1.3,0.864237,-0.0166837275,-0.00447767973,-0.166257083,0.0276942253,False,False,abnormal
5806,1.03816843,1.0988481,1.3,0.8650548,-0.0171043277,-0.004422486,-0.16625537,0.02719602,False,False,abnormal
5804,1.03816843,1.0988481,1.3,0.8650548,-0.0171043277,-0.004422486,-0.16625537,0.02719602,False,False,abnormal
5808,1.03816843,1.0988481,1.3,0.8650548,-0.0171043277,-0.004422486,-0.16625537,0.02719602,False,False,abnormal
5805,1.03816843,1.0988481,1.3,0.8650548,-0.0171043277,-0.004422486,-0.16625537,0.02719602,False,False,abnormal
