,SpringFR,SpringFL,SpringRR,SpringRL,WishboneTargetFR,WishboneTargetFL,WishboneRRTarget,WishboneRLTarget,turn_right,turn_left
7042,1.01867318,1.01932287,1.0177834,1.01843262,0.00114497542,0.0009785891,-0.0227484256,-0.008149743,False,False
7043,1.01867318,1.01932287,1.0177834,1.01843262,0.00114497542,0.0009785891,-0.0227484256,-0.008149743,False,False
7045,1.01860023,1.019141,1.01791692,1.01845813,0.00114831328,0.001032576,-0.0227962136,-0.008170426,False,False
7046,1.01860023,1.019141,1.01791692,1.01845813,0.00114831328,0.001032576,-0.0227962136,-0.008170426,False,False
7044,1.01867318,1.01932287,1.0177834,1.01843262,0.00114497542,0.0009785891,-0.0227484256,-0.008149743,False,False
7047,1.01860023,1.019141,1.01791692,1.01845813,0.00114831328,0.001032576,-0.0227962136,-0.008170426,False,False
7048,1.01855278,1.01899767,1.0179584,1.01840377,0.00114588439,0.00108425319,-0.0228198469,-0.008170277,False,False
7049,1.01855278,1.01899767,1.0179584,1.01840377,0.00114588439,0.00108425319,-0.0228198469,-0.008170277,False,False
7050,1.01855278,1.01899767,1.0179584,1.01840377,0.00114588439,0.00108425319,-0.0228198469,-0.008170277,False,False
7051,1.018539,1.01889992,1.0179081,1.01826835,0.001136303,0.00112852454,-0.0228198171,-0.008149236,False,False
7052,1.018539,1.01889992,1.0179081,1.01826835,0.001136303,0.00112852454,-0.0228198171,-0.008149236,False,False
7053,1.018539,1.01889992,1.0179081,1.01826835,0.001136303,0.00112852454,-0.0228198171,-0.008149236,False,False
7054,1.01856732,1.0188539,1.01776981,1.01805663,0.00111824274,0.00116053224,-0.0227988809,-0.008109868,False,False
7055,1.01856732,1.0188539,1.01776981,1.01805663,0.00111824274,0.00116053224,-0.0227988809,-0.008109868,False,False
7056,1.01856732,1.0188539,1.01776981,1.01805663,0.00111824274,0.00116053224,-0.0227988809,-0.008109868,False,False
7057,1.01863813,1.01885986,1.01755643,1.01777816,0.001091212,0.00117611885,-0.0227588564,-0.008053631,False,False
7058,1.01863813,1.01885986,1.01755643,1.01777816,0.001091212,0.00117611885,-0.0227588564,-0.008053631,False,False
7059,1.01863813,1.01885986,1.01755643,1.01777816,0.001091212,0.00117611885,-0.0227588564,-0.008053631,False,False
7060,1.01875162,1.01891613,1.01727939,1.0174439,0.00105459988,0.00117242336,-0.0227032453,-0.007983893,False,False
7061,1.01875162,1.01891613,1.01727939,1.0174439,0.00105459988,0.00117242336,-0.0227032453,-0.007983893,False,False
7062,1.01875162,1.01891613,1.01727939,1.0174439,0.00105459988,0.00117242336,-0.0227032453,-0.007983893,False,False
7063,1.01890039,1.01901579,1.016959,1.01707411,0.00100974739,0.001149416,-0.02263707,-0.007905513,False,False
7064,1.01890039,1.01901579,1.016959,1.01707411,0.00100974739,0.001149416,-0.02263707,-0.007905513,False,False
7065,1.01890039,1.01901579,1.016959,1.01707411,0.00100974739,0.001149416,-0.02263707,-0.007905513,False,False
7066,1.01907492,1.01914835,1.01661873,1.01669192,0.000957980752,0.00110775232,-0.0225640386,-0.007822186,False,False
7067,1.01907492,1.01914835,1.01661873,1.01669192,0.000957980752,0.00110775232,-0.0225640386,-0.007822186,False,False
7068,1.0192349,1.019268,1.01632881,1.01636147,0.0009083152,0.00105851889,-0.0225019157,-0.00775042176,False,False
7071,1.0192349,1.019268,1.01632881,1.01636147,0.0009083152,0.00105851889,-0.0225019157,-0.00775042176,False,False
7069,1.0192349,1.019268,1.01632881,1.01636147,0.0009083152,0.00105851889,-0.0225019157,-0.00775042176,False,False
7070,1.0192349,1.019268,1.01632881,1.01636147,0.0009083152,0.00105851889,-0.0225019157,-0.00775042176,False,False
7072,1.01990533,1.019902,1.01518941,1.01518607,0.0008035004,0.0009444952,-0.0223594159,-0.00760030746,False,False
7073,1.01990533,1.019902,1.01518941,1.01518607,0.0008035004,0.0009444952,-0.0223594159,-0.00760030746,False,False
7074,1.02116466,1.0211339,1.0131948,1.013164,0.000470682979,0.000590533,-0.02189608,-0.00712913275,False,False
7075,1.02116466,1.0211339,1.0131948,1.013164,0.000470682979,0.000590533,-0.02189608,-0.00712913275,False,False
7076,1.02116466,1.0211339,1.0131948,1.013164,0.000470682979,0.000590533,-0.02189608,-0.00712913275,False,False
7077,1.0227735,1.02273035,1.0108068,1.01076388,2.17556953e-06,9.19401646e-05,-0.0212801248,-0.006509006,False,False
7078,1.0227735,1.02273035,1.0108068,1.01076388,2.17556953e-06,9.19401646e-05,-0.0212801248,-0.006509006,False,False
7079,1.0227735,1.02273035,1.0108068,1.01076388,2.17556953e-06,9.19401646e-05,-0.0212801248,-0.006509006,False,False
7080,1.02455831,1.0245142,1.008332,1.00828815,-0.0005109608,-0.0004555285,-0.0206557214,-0.00588426,False,True
7081,1.02455831,1.0245142,1.008332,1.00828815,-0.0005109608,-0.0004555285,-0.0206557214,-0.00588426,False,True
7082,1.024605,1.02734542,1.00522017,1.0079608,-0.0005108863,-0.00130519271,-0.0199482888,-0.005577445,False,True
7083,1.024605,1.02734542,1.00522017,1.0079608,-0.0005108863,-0.00130519271,-0.0199482888,-0.005577445,False,True
7084,1.024605,1.02734542,1.00522017,1.0079608,-0.0005108863,-0.00130519271,-0.0199482888,-0.005577445,False,True
7085,1.02348065,1.03071523,1.00182891,1.00906372,0.000156387687,-0.002278328,-0.0190923363,-0.0059170723,False,True
7086,1.02348065,1.03071523,1.00182891,1.00906372,0.000156387687,-0.002278328,-0.0190923363,-0.0059170723,False,True
7087,1.02348065,1.03071523,1.00182891,1.00906372,0.000156387687,-0.002278328,-0.0190923363,-0.0059170723,False,True
7088,1.02140594,1.03443527,0.998254955,1.01128411,0.00116822124,-0.00321444869,-0.0181913823,-0.006525874,False,True
7089,1.02140594,1.03443527,0.998254955,1.01128411,0.00116822124,-0.00321444869,-0.0181913823,-0.006525874,False,True
7090,1.02140594,1.03443527,0.998254955,1.01128411,0.00116822124,-0.00321444869,-0.0181913823,-0.006525874,False,True
7091,1.01859283,1.03833485,0.994590461,1.01433325,0.0024728328,-0.00407896936,-0.0172601938,-0.0073313117,False,True
